data_lake_version,index_name,n_jobs,base_table,time_create,time_save,time_load,time_query,total_time
open_data_us,exact_matching,1,company_employees-open_data,277.766843,0.098471,0.02755,7.122567,285.01543100000004
open_data_us,exact_matching,16,company_employees-open_data,119.917445,0.09345049999999999,0.02755,7.122567,127.1610125
wordnet_vldb_50,exact_matching,16,us_elections-yadl-depleted,434.30103966666667,0.6133343333333333,0.544349,0.130727,435.58945
wordnet_full,exact_matching,16,movies_vote_large-yadl-depleted,207.22616,0.139139,0.044213,0.025398,207.43491
wordnet_vldb_10,exact_matching,16,us_accidents-yadl-depleted,92.80008875000001,0.0727025,0.0184875,0.037767999999999996,92.92904675000003
open_data_us,exact_matching,1,movies-depleted_title-open_data,185.05427666666665,0.09751599999999999,0.023659,0.013652000000000001,185.18910366666665
open_data_us,exact_matching,16,movies-depleted_title-open_data,118.86573800000001,0.0925715,0.023659,0.013652000000000001,118.99562050000002
wordnet_vldb_50,exact_matching,16,movies_vote_large-yadl-depleted,3138.32996,0.374646,0.136386,0.109907,3138.9508990000004
wordnet_vldb_10,exact_matching,16,movies-yadl-depleted,92.80407400000001,0.073592,0.0216485,0.026131,92.92544550000002
binary_update,exact_matching,16,us_accidents_2021-yadl-depleted,3.174706,0.0186265,0.0018995000000000001,0.0243695,3.2196015
wordnet_vldb_10,exact_matching,16,housing_prices-yadl-depleted,113.3426505,0.0733505,0.0252315,0.046561500000000006,113.48779400000001
wordnet_vldb_50,exact_matching,16,movies_vote-yadl-depleted,328.254484,0.36632166666666666,0.130855,0.111111,328.8627716666667
wordnet_vldb_10,exact_matching,16,company_employees-yadl-depleted,92.266696,0.0739555,0.019777,0.027608,92.3880365
open_data_us,exact_matching,16,movies_vote-depleted_title-open_data,119.86681899999999,0.098685,0.0248995,0.013837,120.0042405
open_data_us,exact_matching,1,movies_vote-depleted_title-open_data,179.4475295,0.0951405,0.0248995,0.013837,179.5814065
wordnet_vldb_10,exact_matching,16,movies_vote_large-yadl-depleted,169.286663,0.092783,0.032868,0.027146,169.43946
open_data_us,exact_matching,16,us_accidents-depleted_County-open_data,117.932595,0.11116500000000001,0.0217525,0.012102499999999999,118.07761500000001
open_data_us,exact_matching,1,us_accidents-depleted_County-open_data,171.0759,0.0894855,0.0217525,0.012102499999999999,171.19924049999997
binary_update,exact_matching,16,movies_large-yadl-depleted,4.863646,0.030303,0.002375,0.072901,4.969225
open_data_us,exact_matching,16,us_accidents_2021-depleted-open_data_County,121.030797,0.208146,0.02998,0.043244,121.312167
open_data_us,exact_matching,16,us_elections-open_data,123.5402035,0.0971655,0.023447000000000003,0.023209499999999997,123.6840255
open_data_us,exact_matching,1,us_elections-open_data,161.845456,0.100698,0.023447000000000003,0.023209499999999997,161.99281050000002
open_data_us,exact_matching,16,us_accidents_large-depleted-open_data_County,170.240501,0.090447,0.022661,0.044827,170.398436
wordnet_vldb_10,exact_matching,16,us_county_population-yadl-depleted,90.42019400000001,0.07351425,0.0202305,0.027749,90.54168775000001
wordnet_vldb_50,exact_matching,16,movies-yadl-depleted,459.87314,0.392094,0.122465,0.145035,460.53273399999995
open_data_us,exact_matching,16,movies_large-depleted-open_data,125.453468,0.142373,0.059877,0.037469,125.69318700000001
open_data_us,exact_matching,1,housing_prices-open_data,157.480683,0.08549,0.02227925,0.014976250000000002,157.60342849999998
open_data_us,exact_matching,16,housing_prices-open_data,146.64607999999998,0.07771,0.02227925,0.014976250000000002,146.76104549999997
wordnet_full,exact_matching,16,movies_large-yadl-depleted,223.821536,0.140732,0.044278,0.066473,224.07301900000002
wordnet_vldb_10,exact_matching,16,movies_vote-yadl-depleted,92.79827175,0.07768675,0.0203455,0.028987,92.925291
open_data_us,exact_matching,16,company_employees-depleted_name-open_data,127.56010366666668,0.08300133333333333,0.028074500000000002,0.01505125,127.68623075000001
open_data_us,exact_matching,1,company_employees-depleted_name-open_data,180.92584433333334,0.08069733333333333,0.028074500000000002,0.01505125,181.0496674166667
open_data_us,exact_matching,1,housing_prices-depleted_County-open_data,170.50490966666666,0.081413,0.023217500000000002,0.013687000000000001,170.62322716666665
open_data_us,exact_matching,16,housing_prices-depleted_County-open_data,117.77942633333333,0.088665,0.023217500000000002,0.013687000000000001,117.90499583333334
wordnet_vldb_50,exact_matching,16,housing_prices-yadl-depleted,468.56717333333336,0.36804533333333334,0.131696,0.125003,469.1919176666667
wordnet_vldb_50,exact_matching,16,us_accidents-yadl-depleted,329.30790333333334,0.354192,0.131688,0.107653,329.9014363333334
wordnet_vldb_50,exact_matching,16,us_accidents_large-yadl-depleted,1066.4698585,0.3917745,0.17127350000000002,0.0342725,1067.0671790000001
open_data_us,exact_matching,1,movies-open_data,170.304052,0.080102,0.0230335,0.0150285,170.42221600000002
open_data_us,exact_matching,16,movies-open_data,110.992862,0.083625,0.0230335,0.0150285,111.114549
binary_update,exact_matching,16,us_accidents_large-yadl-depleted,4.158195,0.002973,0.0013059999999999999,0.023088499999999998,4.1855625
wordnet_vldb_10,exact_matching,16,us_accidents_2021-yadl-depleted,189.9067265,0.0992705,0.025605,0.027198,190.0588
open_data_us,exact_matching,16,us_elections-depleted_county_name-open_data,114.43542066666667,0.09016033333333333,0.0238355,0.013103,114.56251950000001
open_data_us,exact_matching,1,us_elections-depleted_county_name-open_data,170.099879,0.10539066666666667,0.0238355,0.013103,170.24220816666664
wordnet_vldb_50,exact_matching,16,movies_large-yadl-depleted,751.845596,0.520417,0.153378,0.170298,752.6896889999999
open_data_us,exact_matching,16,movies_vote_large-depleted-open_data,117.065135,0.133497,0.025486,0.017803,117.241921
open_data_us,exact_matching,16,movies_vote-open_data,109.4123,0.083887,0.0260915,0.014100999999999999,109.53637950000001
open_data_us,exact_matching,1,movies_vote-open_data,168.392496,0.070415,0.0260915,0.014100999999999999,168.50310349999998
wordnet_vldb_10,exact_matching,16,us_accidents_large-yadl-depleted,298.865808,0.08992549999999999,0.0331455,0.0210845,299.0099635
binary_update,exact_matching,16,movies_vote_large-yadl-depleted,3.302936,0.002814,0.001193,0.024409,3.331352
wordnet_vldb_50,exact_matching,16,us_accidents_2021-yadl-depleted,1216.576121,0.50676,0.1579315,0.030775999999999998,1217.2715885
open_data_us,exact_matching,1,us_accidents-open_data,156.857034,0.074642,0.0234855,0.0131615,156.968323
open_data_us,exact_matching,16,us_accidents-open_data,110.579115,0.08101,0.0234855,0.0131615,110.69677200000001
wordnet_vldb_10,exact_matching,16,movies_large-yadl-depleted,187.856859,0.161318,0.028006,0.047149,188.09333199999998
wordnet_vldb_10,exact_matching,16,us_elections-yadl-depleted,116.25470025000001,0.16912025,0.024685,0.0546195,116.50312500000003
wordnet_full,exact_matching,16,us_accidents_2021-yadl-depleted,458.793393,0.1120275,0.042133000000000004,0.0249655,458.972519
wordnet_full,exact_matching,16,us_accidents_large-yadl-depleted,1153.3077325,0.1124985,0.041483,0.022038000000000002,1153.4837519999999
wordnet_vldb_50,exact_matching,16,us_county_population-yadl-depleted,431.991203,0.36754233333333336,0.136611,0.112235,432.60759133333335
wordnet_vldb_50,exact_matching,16,company_employees-yadl-depleted,304.59997400000003,0.35264100000000004,0.134426,0.122823,305.20986400000004
